City,Country,Inexpensive Meal,Midrange Meal For 2,McMeal,Domestic Beer (at restaurant),Imported Beer (at restaurant),Cappuccino (at restaurant),Soft Drink (at restaurant),Water (at restaurant),Milk (at Grocery),White Bread,Rice,Eggs,Cheese,Chicken,Beef,Apples,Bananas,Oranges,Tomato,Potato,Onion,Lettuce,Water (at Grocery),Wine (at Grocery),Domestic Beer (at Grocery),Imported Beer (at Grocery),data_quality,Avg_Fruit,Avg_Veg,City/Country
Seoul,South Korea,7.68,53.78,6.15,3.07,4.99,3.93,1.48,0.79,2.2,2.85,3.53,4.04,11.54,10.58,41.61,6.77,3.71,6.5,6.19,3.84,2.92,2.45,1.05,15.36,2.12,2.36,1,5.66,3.85,"Seoul, South Korea"
Shanghai,China,5.69,39.86,5.69,1.14,4.27,3.98,0.53,0.33,2.74,2.61,1.22,2.22,18.35,4.86,13.12,2.26,1.6,2.19,1.53,0.84,1.04,0.83,0.64,14.24,0.94,1.97,1,2.016666667,1.06,"Shanghai, China"
Guangzhou,China,4.13,28.47,4.98,0.85,1.71,3.54,0.44,0.33,1.91,1.63,1.03,1.71,9.0,3.77,11.75,2.02,1.44,1.82,1.31,0.74,1.0,0.49,0.51,11.39,0.95,2.26,1,1.76,0.885,"Guangzhou, China"
Mumbai,India,3.68,18.42,3.68,2.46,4.3,2.48,0.48,0.19,0.75,0.5,0.83,0.95,5.88,3.69,5.95,2.09,0.67,1.34,0.59,0.44,0.44,0.65,0.35,9.83,2.27,3.61,1,1.366666667,0.53,"Mumbai, India"
Delhi,India,4.91,22.11,4.3,1.84,3.68,1.77,0.49,0.19,0.73,0.5,0.85,1.02,4.36,3.81,5.71,1.79,0.75,1.03,0.61,0.37,0.41,0.7,0.36,9.83,1.54,2.49,1,1.19,0.5225,"Delhi, India"
Dhaka,Bangladesh,1.95,11.71,4.88,5.85,5.12,1.95,0.29,0.16,0.83,0.67,0.69,1.32,7.21,3.07,7.19,2.38,1.04,2.18,0.96,0.28,0.49,0.41,0.27,5.36,2.4,6.3,1,1.866666667,0.535,"Dhaka, Bangladesh"
Osaka,Japan,7.45,48.39,5.36,3.35,3.72,3.28,1.09,0.81,1.41,1.47,4.92,1.9,11.09,6.93,22.46,4.09,1.85,3.87,6.34,3.31,2.01,1.53,0.98,7.45,2.54,2.48,1,3.27,3.2975,"Osaka, Japan"
Jakarta,Indonesia,2.59,22.69,3.57,2.06,3.24,2.23,0.61,0.27,1.3,1.2,0.83,1.71,6.9,3.52,8.49,2.99,1.6,2.13,1.3,1.42,2.05,1.13,0.44,22.69,2.17,3.24,1,2.24,1.475,"Jakarta, Indonesia"
Shenzhen,China,4.27,28.47,4.98,1.14,3.99,4.2,0.47,0.34,2.23,2.4,1.0,2.13,13.67,4.37,15.56,1.97,1.47,1.81,1.45,1.06,1.16,0.9,0.55,14.16,0.88,1.49,1,1.75,1.1425,"Shenzhen, China"
Kinshasa,Congo,15.11,42.63,10.08,1.74,2.5,4.35,2.78,0.84,2.0,1.33,5.17,4.15,9.5,5.0,20.0,10.0,3.25,5.25,6.33,3.6,2.83,1.67,2.0,10.0,1.32,3.5,0,6.166666667,3.6075,"Kinshasa, Congo"
Bangkok,Thailand,2.74,28.8,5.76,2.3,4.32,2.13,0.51,0.27,1.65,1.91,1.45,2.0,16.97,3.08,12.16,2.88,1.41,1.93,1.53,1.52,1.27,1.19,0.47,20.16,1.65,2.84,1,2.073333333,1.3775,"Bangkok, Thailand"
Karachi,Pakistan,2.24,11.18,3.8,2.12,2.68,1.41,0.29,0.19,0.8,0.46,1.09,1.14,4.88,2.83,4.02,1.09,0.56,0.83,0.74,0.31,0.46,0.32,0.35,1.79,1.41,1.85,1,0.826666667,0.4575,"Karachi, Pakistan"
Cairo,Egypt,4.07,20.35,4.07,1.63,2.73,1.75,0.25,0.15,0.82,0.52,0.73,1.29,3.28,3.96,7.62,1.18,0.66,0.42,0.31,0.34,0.27,0.24,0.22,8.14,1.29,1.99,1,0.753333333,0.29,"Cairo, Egypt"
Sao Paulo,Brazil,7.66,38.32,6.71,2.3,3.45,1.57,1.12,0.79,1.29,1.56,1.22,2.28,10.27,4.57,9.71,2.12,1.48,1.07,1.92,1.32,1.31,0.91,0.55,7.66,1.35,2.86,1,1.556666667,1.365,"Sao Paulo, Brazil"
Mexico City,Mexico,7.74,39.97,6.7,2.58,4.13,2.71,1.07,0.76,1.32,2.02,1.41,1.97,7.74,6.32,9.43,2.48,1.3,1.45,1.5,1.57,1.44,0.99,0.83,11.35,1.42,2.55,1,1.743333333,1.375,"Mexico City, Mexico"
Lagos,Nigeria,3.71,45.03,6.75,1.13,1.8,3.4,0.4,0.26,3.59,1.37,2.84,2.15,4.88,5.5,5.91,3.15,2.03,1.76,2.77,2.77,1.75,1.34,0.55,6.75,0.99,1.54,1,2.313333333,2.1575,"Lagos, Nigeria"
Kolkata,India,2.0,14.74,3.68,2.21,3.68,1.64,0.36,0.15,0.63,0.37,0.69,0.92,5.04,3.05,6.38,1.88,0.65,1.19,0.64,0.4,0.44,0.37,0.34,9.52,1.77,2.96,1,1.24,0.4625,"Kolkata, India"
Beijing,China,4.27,31.32,5.69,1.42,4.13,4.62,0.52,0.42,2.01,2.17,1.25,1.94,13.04,3.95,12.8,2.03,1.89,1.98,1.48,0.88,1.0,0.88,0.64,12.81,1.03,2.44,1,1.966666667,1.06,"Beijing, China"
Moscow,Russia,12.8,64.0,6.4,4.0,4.0,3.34,1.28,0.72,1.41,0.83,1.87,1.84,13.14,5.61,11.19,1.68,1.31,1.81,2.86,0.8,0.73,1.47,0.85,11.2,1.16,2.44,1,1.6,1.465,"Moscow, Russia"
Tokyo,Japan,7.45,44.67,5.21,4.47,4.47,3.42,1.26,0.85,1.44,1.59,3.41,1.93,15.22,8.3,23.42,7.23,3.18,5.95,5.33,4.45,4.18,1.49,0.99,8.93,2.15,2.82,1,5.453333333,3.8625,"Tokyo, Japan"
Manila,Philippines,3.59,28.71,3.59,1.26,1.93,2.97,0.99,0.51,1.67,1.24,0.9,1.77,5.33,4.21,6.96,2.7,1.4,3.04,1.45,1.74,1.75,1.35,0.65,8.97,1.18,1.62,1,2.38,1.5725,"Manila, Philippines"
New York,United States,25.0,100.0,10.0,7.2,10.0,5.38,2.72,2.32,1.26,4.11,8.03,3.93,16.85,17.88,20.57,5.62,2.59,4.98,6.22,4.04,3.73,2.68,2.51,17.99,3.15,3.95,1,4.396666667,4.1675,"New York, United States"
Istanbul,Turkey,5.37,24.15,4.29,2.68,3.22,1.98,0.9,0.32,1.03,0.5,1.67,1.81,6.32,4.18,9.08,0.86,1.72,1.09,0.89,0.61,0.53,0.64,0.31,8.05,1.68,2.27,1,1.223333333,0.6675,"Istanbul, Turkey"
Buenos Aires,Argentina,6.12,25.0,5.0,1.92,2.42,1.78,1.04,0.81,0.77,1.29,0.95,1.37,6.54,4.0,6.42,1.36,1.2,0.73,1.41,0.64,0.73,1.06,0.73,3.73,1.22,1.95,1,1.096666667,0.96,"Buenos Aires, Argentina"
Bangalore,India,3.07,18.42,4.3,2.21,3.68,2.09,0.46,0.18,0.58,0.57,0.76,0.98,6.54,3.83,6.61,2.38,0.72,1.16,0.46,0.44,0.44,0.57,0.36,11.05,1.91,3.5,1,1.42,0.4775,"Bangalore, India"
Lahore,Pakistan,1.56,17.88,3.58,3.13,4.02,1.81,0.23,0.17,0.69,0.67,0.96,1.05,5.72,2.83,3.88,1.2,0.68,0.71,0.67,0.33,0.39,0.27,0.31,0.45,0.83,1.05,1,0.863333333,0.415,"Lahore, Pakistan"
Chennai,India,2.18,12.28,4.91,2.21,4.3,1.63,0.44,0.18,0.61,0.5,0.68,0.85,6.15,3.19,5.8,2.5,0.78,1.35,0.51,0.5,0.45,0.63,0.37,5.53,1.81,3.12,1,1.543333333,0.5225,"Chennai, India"
Chengdu,China,2.85,24.77,5.05,1.14,2.85,3.75,0.42,0.29,1.97,1.46,1.17,2.15,14.8,6.16,13.33,2.01,1.43,1.39,1.16,0.77,0.83,0.48,0.62,7.83,1.06,1.88,1,1.61,0.81,"Chengdu, China"
London,United Kingdom,18.45,79.95,8.61,7.26,6.15,4.14,2.12,1.69,1.35,1.25,2.15,2.93,7.92,8.19,12.3,2.59,1.46,2.25,2.87,1.41,1.43,1.04,1.38,11.07,2.38,2.87,1,2.1,1.6875,"London, United Kingdom"
