City,Country,Inexpensive Meal,Midrange Meal For 2,McMeal,Domestic Beer (at restaurant),Imported Beer (at restaurant),Cappuccino (at restaurant),Soft Drink (at restaurant),Water (at restaurant),Milk (at Grocery),White Bread,Rice,Eggs,Cheese,Chicken,Beef,Apples,Bananas,Oranges,Tomato,Potato,Onion,Lettuce,Water (at Grocery),Wine (at Grocery),Domestic Beer (at Grocery),Imported Beer (at Grocery),City/Country,Avg_Fruit,Avg_Veg,year,data_quality
Delhi,India,4.9,22.04,4.28,1.84,3.67,1.78,0.48,0.19,0.73,0.51,0.88,1.01,4.32,3.79,5.57,1.8,0.75,1.01,0.6,0.36,0.41,0.7,0.36,9.79,1.53,2.51,"Delhi, India",1.1866666666666665,0.5175,2021,
Shanghai,China,5.59,40.51,5.59,1.12,4.19,3.96,0.52,0.32,2.68,2.57,1.18,2.17,18.01,4.67,12.79,2.22,1.55,2.11,1.47,0.82,1.02,0.82,0.62,13.97,0.91,1.93,"Shanghai, China",1.9600000000000002,1.0325,2021,
Jakarta,Indonesia,2.54,22.25,3.5,2.02,3.18,2.19,0.59,0.27,1.28,1.21,0.83,1.7,6.66,3.46,8.32,2.8,1.52,2.08,1.24,1.35,2.1,1.13,0.42,20.66,2.06,3.18,"Jakarta, Indonesia",2.1333333333333333,1.4549999999999998,2021,
Manila,Philippines,3.54,27.4,3.54,1.24,1.9,2.91,0.93,0.51,1.63,1.19,0.89,1.73,5.06,4.19,6.64,2.66,1.42,2.95,1.42,1.76,1.75,1.36,0.65,8.84,1.15,1.55,"Manila, Philippines",2.3433333333333333,1.5725,2021,
Seoul,South Korea,7.16,52.77,6.03,3.02,4.52,3.86,1.46,0.78,2.13,2.78,3.66,4.02,11.13,10.62,40.41,6.79,3.7,6.4,6.36,3.86,2.81,2.4,1.06,15.08,2.1,2.49,"Seoul, South Korea",5.63,3.8575000000000004,2021,
Bangkok,Thailand,2.6,28.09,5.62,2.25,4.21,2.06,0.5,0.26,1.61,1.86,1.44,1.96,15.94,3.0,11.51,2.83,1.43,1.83,1.42,1.4,1.2,1.16,0.46,19.66,1.61,2.83,"Bangkok, Thailand",2.03,1.295,2021,
Kolkata,India,2.0,14.69,3.67,2.2,3.67,1.6,0.36,0.15,0.63,0.37,0.69,0.91,4.85,3.03,6.36,1.88,0.65,1.21,0.64,0.4,0.44,0.37,0.34,9.49,1.78,2.9,"Kolkata, India",1.2466666666666666,0.4625,2021,
Guangzhou,China,4.05,27.94,4.89,0.84,1.68,3.41,0.44,0.32,1.88,1.6,1.01,1.68,8.83,3.7,11.53,1.98,1.41,1.79,1.28,0.72,0.98,0.48,0.5,11.17,0.93,2.02,"Guangzhou, China",1.7266666666666666,0.865,2021,
Mumbai,India,3.67,18.36,3.67,2.45,4.28,2.49,0.46,0.19,0.74,0.5,0.84,0.97,5.81,3.68,6.19,2.1,0.69,1.34,0.59,0.44,0.45,0.64,0.35,9.79,2.26,3.63,"Mumbai, India",1.3766666666666667,0.53,2021,
Beijing,China,4.19,30.73,5.59,1.4,4.05,4.55,0.51,0.43,1.97,2.07,1.2,1.85,12.66,3.94,12.56,1.95,1.84,1.91,1.45,0.88,0.97,0.85,0.63,11.87,1.01,2.4,"Beijing, China",1.9000000000000001,1.0374999999999999,2021,
Osaka,Japan,7.22,43.31,5.47,3.25,3.61,3.19,1.17,0.78,1.36,1.43,4.78,1.69,10.78,6.74,21.82,3.97,1.79,3.76,6.16,3.21,1.95,1.48,0.95,7.22,2.47,2.41,"Osaka, Japan",3.1733333333333333,3.2,2021,
Lagos,Nigeria,3.38,45.06,6.76,1.13,1.8,3.4,0.39,0.26,3.79,1.37,2.82,2.15,4.86,5.39,5.75,3.11,2.03,1.76,2.77,2.93,1.72,1.35,0.55,6.2,0.99,1.58,"Lagos, Nigeria",2.3,2.1925,2021,
Karachi,Pakistan,2.23,11.14,3.56,2.12,2.67,1.39,0.29,0.18,0.79,0.46,1.09,1.13,4.91,2.85,4.01,1.09,0.55,0.79,0.74,0.31,0.44,0.32,0.35,1.78,1.4,1.85,"Karachi, Pakistan",0.81,0.4525,2021,
Dhaka,Bangladesh,1.87,11.24,4.68,5.62,4.92,1.89,0.27,0.15,0.79,0.64,0.67,1.25,6.92,2.99,6.9,2.28,1.0,2.09,0.92,0.27,0.47,0.38,0.26,5.15,2.22,5.88,"Dhaka, Bangladesh",1.7899999999999998,0.51,2021,
Sao Paulo,Brazil,7.45,37.27,6.52,2.24,3.35,1.51,1.08,0.75,1.26,1.53,1.18,2.22,9.99,4.44,9.36,2.04,1.44,1.06,1.86,1.28,1.27,0.88,0.54,7.45,1.31,2.7,"Sao Paulo, Brazil",1.5133333333333334,1.3225,2021,
Tokyo,Japan,7.22,43.31,5.05,4.3,5.05,3.42,1.21,0.82,1.37,1.6,3.33,1.88,14.75,8.05,22.71,7.02,3.0,5.77,5.13,4.4,3.99,1.45,0.96,8.66,2.08,2.73,"Tokyo, Japan",5.263333333333333,3.7425,2021,
Moscow,Russia,13.1,65.5,6.55,4.09,4.09,3.42,1.3,0.74,1.43,0.86,1.94,1.87,13.1,5.85,11.54,1.77,1.31,1.85,2.74,0.8,0.75,1.51,0.84,11.46,1.18,2.51,"Moscow, Russia",1.6433333333333333,1.45,2021,
Shenzhen,China,4.19,27.94,4.89,1.12,3.91,4.14,0.47,0.33,2.2,2.36,0.98,2.09,13.66,4.29,15.27,1.93,1.45,1.77,1.42,1.04,1.14,0.88,0.54,13.97,0.84,1.46,"Shenzhen, China",1.7166666666666668,1.1199999999999999,2021,
Mexico City,Mexico,7.78,39.95,6.75,2.59,4.1,2.75,1.03,0.75,1.33,2.0,1.47,1.98,7.8,6.27,9.49,2.51,1.32,1.46,1.5,1.58,1.47,0.99,0.83,11.42,1.39,2.57,"Mexico City, Mexico",1.7633333333333334,1.385,2021,
Cairo,Egypt,4.07,20.36,4.07,1.63,2.55,1.76,0.26,0.15,0.82,0.51,0.7,1.29,3.29,4.0,7.55,1.21,0.65,0.4,0.31,0.34,0.27,0.24,0.22,8.15,1.28,1.93,"Cairo, Egypt",0.7533333333333333,0.29000000000000004,2021,
New York,United States,25.0,100.0,10.0,8.0,10.0,5.38,2.72,2.32,1.25,4.13,7.95,3.93,16.58,17.88,20.57,5.52,2.5,4.98,6.22,4.16,3.73,2.68,2.43,16.5,3.15,3.95,"New York, United States",4.333333333333333,4.1975,2021,
Istanbul,Turkey,5.36,24.14,4.29,2.68,3.22,1.84,0.88,0.31,0.96,0.51,1.65,1.75,5.96,4.08,8.99,0.85,1.71,1.1,0.86,0.6,0.51,0.63,0.32,8.05,1.67,2.23,"Istanbul, Turkey",1.22,0.65,2021,
Buenos Aires,Argentina,6.4,25.0,5.0,1.79,2.4,1.75,1.0,0.81,0.77,1.28,0.95,1.38,6.54,4.0,6.42,1.35,1.19,0.73,1.41,0.64,0.73,1.06,0.74,3.73,1.24,1.95,"Buenos Aires, Argentina",1.09,0.96,2021,
Bangalore,India,3.06,18.36,4.28,2.11,3.67,2.01,0.46,0.18,0.58,0.57,0.76,0.97,6.52,3.86,6.45,2.38,0.7,1.23,0.46,0.43,0.44,0.57,0.36,11.02,1.89,3.37,"Bangalore, India",1.4366666666666668,0.475,2021,
Tehran,Iran,4.0,29.19,4.96,0.88,1.94,1.49,0.88,0.76,0.81,0.53,3.79,1.32,4.13,3.2,8.1,1.15,1.41,1.11,0.67,0.6,0.51,0.51,0.31,1.0,0.5,1.25,"Tehran, Iran",1.2233333333333334,0.5725,2021,
Chengdu,China,2.79,24.3,4.96,1.12,2.79,3.61,0.41,0.29,1.94,1.46,1.15,2.11,14.53,6.03,12.33,1.8,1.4,1.37,1.07,0.7,0.81,0.47,0.61,7.68,1.04,1.84,"Chengdu, China",1.5233333333333334,0.7625,2021,
Chennai,India,2.2,12.24,4.9,2.2,4.28,1.61,0.44,0.18,0.6,0.5,0.68,0.85,5.99,3.18,5.8,2.49,0.77,1.34,0.5,0.5,0.45,0.62,0.37,5.51,1.85,3.08,"Chennai, India",1.5333333333333334,0.5175,2021,
Lahore,Pakistan,1.56,17.82,3.56,3.01,4.01,1.79,0.22,0.17,0.69,0.66,0.96,1.04,5.76,2.82,3.87,1.2,0.69,0.71,0.67,0.34,0.38,0.27,0.31,0.45,0.83,1.04,"Lahore, Pakistan",0.8666666666666666,0.41500000000000004,2021,
Tianjin,China,4.19,27.94,6.29,1.4,2.1,3.49,0.45,0.28,1.88,1.52,0.93,1.22,14.32,2.91,10.36,1.22,1.35,1.34,1.1,0.73,0.73,0.7,0.66,13.97,1.05,1.4,"Tianjin, China",1.3033333333333335,0.815,2021,
Paris,France,15.58,62.32,10.39,7.27,6.23,3.8,2.84,2.4,1.25,2.08,2.17,3.58,17.2,12.68,22.13,3.02,2.04,2.76,3.69,2.15,2.16,1.49,0.83,8.31,2.08,2.98,"Paris, France",2.606666666666667,2.3725,2021,
London,United Kingdom,18.02,80.48,8.41,7.09,6.01,3.96,2.01,1.64,1.32,1.24,2.09,2.86,7.76,7.93,11.68,2.5,1.5,2.21,2.8,1.37,1.41,1.01,1.38,10.81,2.31,2.82,"London, United Kingdom",2.07,1.6475,2021,
Hyderabad,India,2.45,12.24,5.26,1.84,3.67,2.0,0.45,0.18,0.75,0.55,0.68,0.9,5.77,3.53,6.77,2.68,0.7,1.29,0.54,0.45,0.42,0.72,0.37,10.1,1.84,3.13,"Hyderabad, India",1.5566666666666666,0.5325,2021,
Los Angeles,United States,20.0,87.09,10.0,7.5,8.0,4.95,2.7,2.28,1.14,3.8,5.64,3.84,12.5,11.58,17.97,4.09,1.76,3.49,4.13,2.72,2.2,1.79,1.99,12.0,2.56,2.95,"Los Angeles, United States",3.1133333333333333,2.71,2021,
Ho Chi Minh City,Vietnam,2.02,24.23,4.04,1.01,2.02,1.99,0.54,0.3,1.47,1.16,0.93,1.49,10.6,3.47,11.53,3.21,1.03,1.32,1.16,1.29,1.46,0.96,0.51,9.09,0.86,1.42,"Ho Chi Minh City, Vietnam",1.8533333333333335,1.2175,2021,
Nagoya,Japan,7.22,36.1,5.05,2.89,3.61,2.57,1.0,0.76,1.46,1.33,3.61,1.75,15.02,8.79,18.05,6.01,2.22,3.84,6.14,3.97,2.19,1.37,0.79,7.22,1.87,1.64,"Nagoya, Japan",4.023333333333333,3.4174999999999995,2021,
Wuhan,China,3.49,26.54,5.59,1.51,2.1,2.8,0.42,0.23,1.69,1.75,0.89,1.7,12.57,4.16,13.28,1.75,1.47,1.54,1.26,0.86,1.19,0.51,0.58,13.97,0.77,1.72,"Wuhan, China",1.5866666666666667,0.9550000000000001,2021,
Rio de Janeiro,Brazil,6.52,27.95,6.52,1.86,2.8,1.53,1.09,0.75,1.03,1.48,1.15,1.82,8.06,3.65,8.23,1.81,1.19,1.02,1.64,1.06,0.97,0.56,0.54,8.39,1.1,2.3,"Rio de Janeiro, Brazil",1.3399999999999999,1.0575,2021,
Lima,Peru,3.84,23.06,5.12,2.05,3.84,2.57,0.83,0.54,1.19,1.8,1.08,1.78,6.82,4.93,8.05,1.54,1.01,0.97,0.97,0.72,0.86,0.71,0.73,7.69,1.57,2.29,"Lima, Peru",1.1733333333333331,0.815,2021,
Zhengzhou,China,2.1,16.76,4.19,0.77,2.23,3.21,0.44,0.28,1.73,1.67,0.71,1.45,17.46,2.28,10.71,0.98,0.93,0.84,0.87,0.58,0.48,0.33,0.56,11.87,0.93,1.71,"Zhengzhou, China",0.9166666666666666,0.565,2021,
Chicago,United States,20.0,80.0,9.5,5.5,6.5,4.7,2.29,1.99,0.84,3.18,3.73,2.98,12.21,10.47,16.15,5.15,1.58,3.15,3.78,1.9,2.08,1.66,2.02,13.99,2.75,3.69,"Chicago, United States",3.2933333333333334,2.355,2021,
Chongqing,China,2.79,16.76,4.75,0.84,2.79,3.68,0.41,0.26,1.8,1.34,0.91,1.84,9.54,3.56,12.5,1.68,1.28,1.29,1.05,0.63,1.19,0.47,0.53,4.89,0.72,2.0,"Chongqing, China",1.4166666666666667,0.835,2021,
Hanoi,Vietnam,2.02,20.03,5.21,0.81,1.62,1.89,0.43,0.27,1.34,0.91,0.99,1.48,10.48,3.48,10.22,2.67,1.07,1.53,1.14,0.98,1.13,0.76,0.57,7.07,0.8,1.55,"Hanoi, Vietnam",1.7566666666666668,1.0025,2021,
Pune,India,3.67,14.69,4.28,2.45,3.67,1.93,0.42,0.16,0.72,0.49,0.7,0.94,6.05,3.26,5.75,2.14,0.66,1.27,0.56,0.41,0.41,0.58,0.36,7.65,2.11,3.15,"Pune, India",1.3566666666666667,0.49,2021,
