concert_id,concert_title,concert_popularity,concert_datime_utc,performer_id,performer_name,performer_score,performer_popularity,venue_name,venue_city,venue_state,venue_postal_code,venue_address,listing_count,average_price,lowest_price_good_deals,lowest_price,highest_price,visible_listing_count,median_price,lowest_sg_base_price,lowest_sg_base_price_good_deals,concert_score,announce_date,created_at
6114819,The Taylor Party - Taylor Swift Tribute (18+),0.698,2023-10-20T00:00:00,799880,The Taylor Party- Taylor Swift Night,0.32,0,Toad's Place,New Haven,CT,06511,300 York Street,1.0,103.0,,101.0,106.0,1.0,103.0,71.0,,0.284,2023-08-12T00:00:00,2023-08-12T16:21:38
6114821,The Taylor Party - Taylor Swift Tribute (18+),0.688,2023-10-21T00:00:00,799880,The Taylor Party- Taylor Swift Night,0.32,0,Newport Music Hall,Columbus,OH,43201,1722 North High Street,8.0,102.0,,60.0,280.0,7.0,76.0,39.0,,0.308,2023-08-12T00:00:00,2023-08-12T16:21:55
6184519,22 and Good 4 U - A Taylor Swift & Olivia Rodrigo Dance Party,0.715,2023-10-27T01:00:00,806407,22 and Good 4 U - A Taylor Swift & Olivia Rodrigo Dance Party,0.29,0,Arch Street Tavern,Hartford,CT,06103,85 Arch Street,,,,,,,,,,0.384,2023-09-15T00:00:00,2023-09-15T20:08:52
6184493,22 and Good 4 U - A Taylor Swift & Olivia Rodrigo Dance Party,0.588,2023-10-27T01:00:00,806407,22 and Good 4 U - A Taylor Swift & Olivia Rodrigo Dance Party,0.29,0,Enclave,Pittsburgh,PA,15203,,3.0,60.0,,50.0,79.0,3.0,51.0,32.0,,0.182,2023-09-15T00:00:00,2023-09-15T19:50:07
6114822,The Taylor Party - Taylor Swift Tribute (18+),0.639,2023-10-28T00:00:00,799880,The Taylor Party- Taylor Swift Night,0.32,0,Manchester Music Hall,Lexington,KY,40508,899 Manchester St,13.0,82.0,,22.0,220.0,10.0,75.0,11.0,,0.231,2023-08-12T00:00:00,2023-08-12T16:22:17
6184521,22 and Good 4 U - A Taylor Swift & Olivia Rodrigo Dance Party,0.737,2023-11-03T01:00:00,806407,22 and Good 4 U - A Taylor Swift & Olivia Rodrigo Dance Party,0.29,0,Paper Tiger - San Antonio,San Antonio,TX,78212,2410 North Saint Mary's Street,,,,,,,,,,0.358,2023-09-15T00:00:00,2023-09-15T20:08:53
6114826,The Taylor Party - Taylor Swift Tribute (18+),0.629,2023-11-11T02:00:00,799880,The Taylor Party- Taylor Swift Night,0.32,0,The Blue Note,Columbia,MO,65201,17 N 9th St,15.0,125.0,,39.0,299.0,14.0,116.0,23.0,,0.199,2023-08-12T00:00:00,2023-08-12T16:22:46
6114824,The Taylor Party - Taylor Swift Tribute (18+),0.633,2023-11-11T02:00:00,799880,The Taylor Party- Taylor Swift Night,0.32,0,Tower Theatre - OK,Oklahoma City,OK,73103,425 NW 23rd St,17.0,68.0,,48.0,111.0,11.0,66.0,30.0,,0.219,2023-08-12T00:00:00,2023-08-12T16:22:32
6114828,The Taylor Party - Taylor Swift Tribute (18+),0.723,2023-11-18T01:00:00,799880,The Taylor Party- Taylor Swift Night,0.32,0,The Bluebird - Bloomington,Bloomington,IN,47404,216 North Walnut Street,,,,,,,,,,0.324,2023-08-12T00:00:00,2023-08-12T16:23:04
6114832,The Taylor Party - Taylor Swift Tribute (18+),0.625,2023-11-19T01:00:00,799880,The Taylor Party- Taylor Swift Night,0.32,0,Higher Ground - Ballroom,South Burlington,VT,05403,1214 Williston Road,,,,,,,,,,0.204,2023-08-12T00:00:00,2023-08-12T16:23:49
6222966,Candlelight Koreatown - A Tribute to Taylor Swift,0.724,2023-11-19T02:30:00,758569,Candlelight Concert,0.39,0,Immanuel Presbyterian Church,Fremont,CA,94536,4333 Hansen Avenue,,,,,,,,,,0.363,2023-10-10T00:00:00,2023-10-10T09:55:13
6114830,The Taylor Party - Taylor Swift Tribute (18+),0.624,2023-11-19T03:00:00,799880,The Taylor Party- Taylor Swift Night,0.32,0,Fox Theatre Boulder,Boulder,CO,80302,1135 13th Street,16.0,80.0,,35.0,119.0,8.0,66.0,21.0,,0.189,2023-08-12T00:00:00,2023-08-12T16:23:27
6222964,Candlelight Koreatown - A Tribute to Taylor Swift,0.723,2023-11-19T05:00:00,758569,Candlelight Concert,0.39,0,Immanuel Presbyterian Church,Fremont,CA,94536,4333 Hansen Avenue,,,,,,,,,,0.362,2023-10-10T00:00:00,2023-10-10T09:55:13
6132734,Taylor Swift Tribute,0.572,2023-11-22T00:30:00,805380,Taylor Swift Tribute,0.37,0,The Studio,Hamilton,,L8P 4Y2,1 Summers Lane,8.0,63.0,,55.0,73.0,6.0,56.0,36.0,,0.108,2023-08-19T00:00:00,2023-08-19T11:56:46
