concert_id,concert_title,concert_popularity,concert_datime_utc,performer_id,performer_name,performer_score,performer_popularity,venue_name,venue_city,venue_state,venue_postal_code,venue_address,listing_count,average_price,lowest_price_good_deals,lowest_price,highest_price,visible_listing_count,median_price,lowest_sg_base_price,lowest_sg_base_price_good_deals,concert_score,announce_date,created_at,extraction_time
6038131,TV Girl,0.712,2023-12-01T02:30:00,17098,TV Girl,0.61,0,Alex Madonna Expo Center,San Luis Obispo,CA,93405,100 Madonna Rd,4.0,351.0,,339.0,372.0,3.0,344.0,248.0,,0.388,2023-05-28T00:00:00,2023-05-28T15:10:11,2023-10-20 05:25:52.033896
5925644,Madonna,0.813,2023-12-14T01:30:00,1173,Madonna,0.68,0,Barclays Center,Brooklyn,NY,11217,620 Atlantic Avenue,1124.0,484.0,100.0,100.0,6875.0,842.0,350.0,69.0,69.0,0.614,2023-01-27T00:00:00,2023-01-27T19:39:28,2023-10-20 05:25:52.033896
5925625,Madonna,0.808,2023-12-15T01:30:00,1173,Madonna,0.68,0,Barclays Center,Brooklyn,NY,11217,620 Atlantic Avenue,1125.0,533.0,108.0,108.0,15678.0,844.0,333.0,75.0,75.0,0.603,2023-01-27T00:00:00,2023-01-27T16:20:27,2023-10-20 05:25:52.033896
6117476, Madonna,0.807,2023-12-17T01:30:00,1173,Madonna,0.68,0,Barclays Center,Brooklyn,NY,11217,620 Atlantic Avenue,640.0,891.0,134.0,134.0,14572.0,500.0,601.0,95.0,95.0,0.599,2023-08-15T00:00:00,2023-08-15T19:39:20,2023-10-20 05:25:52.033896
5981312,Madonna,0.791,2023-12-19T01:30:00,1173,Madonna,0.68,0,Capital One Arena,Washington,DC,20004,601 F Street Northwest,903.0,496.0,119.0,119.0,9581.0,665.0,351.0,84.0,84.0,0.563,2023-03-27T00:00:00,2023-03-27T16:09:50,2023-10-20 05:25:52.033896
5915089,Madonna (Rescheduled from 9/2/2023),0.8,2023-12-20T01:30:00,1173,Madonna,0.68,0,Capital One Arena,Washington,DC,20004,601 F Street Northwest,911.0,2313.0,101.0,101.0,214749.0,778.0,390.0,70.0,70.0,0.585,2023-01-17T00:00:00,2023-01-17T15:30:10,2023-10-20 05:25:52.033896
5915087,Madonna (Rescheduled from 8/30/2023),0.783,2024-01-09T01:30:00,1173,Madonna,0.68,0,TD Garden,Boston,MA,02114,100 Legends Way,657.0,3082.0,124.0,124.0,214749.0,538.0,497.0,88.0,88.0,0.544,2023-01-17T00:00:00,2023-01-17T15:29:28,2023-10-20 05:25:52.033896
5920471,Madonna (Rescheduled from 8/31/2023),0.785,2024-01-10T01:30:00,1173,Madonna,0.68,0,TD Garden,Boston,MA,02114,100 Legends Way,837.0,700.0,117.0,117.0,14599.0,642.0,475.0,82.0,82.0,0.549,2023-01-19T00:00:00,2023-01-19T22:30:23,2023-10-20 05:25:52.033896
5915111,Madonna (Rescheduled from 8/13/2023),0.744,2024-01-12T01:30:00,1173,Madonna,0.68,0,Scotiabank Arena,Toronto,ON,M5J 2X2,40 Bay Street,589.0,886.0,149.0,149.0,8592.0,499.0,669.0,106.0,106.0,0.457,2023-01-17T00:00:00,2023-01-17T15:42:32,2023-10-20 05:25:52.033896
5920539,Madonna (Rescheduled from 8/14/2023),0.771,2024-01-13T01:30:00,1173,Madonna,0.68,0,Scotiabank Arena,Toronto,ON,M5J 2X2,40 Bay Street,608.0,859.0,138.0,138.0,5841.0,524.0,671.0,98.0,98.0,0.517,2023-01-20T00:00:00,2023-01-20T15:35:53,2023-10-20 05:25:52.033896
5915076,Madonna (Rescheduled from 8/5/2023),0.801,2024-01-16T01:30:00,1173,Madonna,0.68,0,Little Caesars Arena,Detroit,MI,48201,66 Sibley St,489.0,605.0,133.0,133.0,4894.0,464.0,312.0,94.0,94.0,0.586,2023-01-17T00:00:00,2023-01-17T15:27:03,2023-10-20 05:25:52.033896
5915113,Madonna (Rescheduled from 8/19/2023),0.716,2024-01-19T01:30:00,1173,Madonna,0.68,0,Centre Bell,Montreal,QC,H3C 5L2,1909 Avenue des Canadiens-de-Montreal,718.0,489.0,79.0,79.0,8847.0,627.0,338.0,54.0,54.0,0.394,2023-01-17T00:00:00,2023-01-17T15:43:04,2023-10-20 05:25:52.033896
5920541,Madonna (Rescheduled from 8/20/2023),0.723,2024-01-21T01:30:00,1173,Madonna,0.68,0,Centre Bell,Montreal,QC,H3C 5L2,1909 Avenue des Canadiens-de-Montreal,539.0,571.0,74.0,74.0,10812.0,454.0,352.0,49.0,49.0,0.411,2023-01-20T00:00:00,2023-01-20T15:37:36,2023-10-20 05:25:52.033896
5915083,Madonna (Rescheduled from 8/23/2023),0.785,2024-01-23T01:30:00,1173,Madonna,0.68,0,Madison Square Garden,New York,NY,10001,4 Pennsylvania Plaza,454.0,4507.0,169.0,169.0,214749.0,407.0,573.0,121.0,121.0,0.549,2023-01-17T00:00:00,2023-01-17T15:27:41,2023-10-20 05:25:52.033896
5915085,Madonna (Rescheduled from 8/24/2023),0.799,2024-01-24T01:30:00,1173,Madonna,0.68,0,Madison Square Garden,New York,NY,10001,4 Pennsylvania Plaza,671.0,2586.0,162.0,162.0,214749.0,557.0,458.0,116.0,116.0,0.579,2023-01-17T00:00:00,2023-01-17T15:27:47,2023-10-20 05:25:52.033896
5981314,Madonna (Rescheduled from 12/20/2023),0.808,2024-01-26T01:30:00,1173,Madonna,0.68,0,Wells Fargo Center,Philadelphia,PA,19148,3601 South Broad Street,305.0,418.0,139.0,139.0,2243.0,265.0,368.0,99.0,99.0,0.601,2023-03-27T00:00:00,2023-03-27T16:10:08,2023-10-20 05:25:52.033896
6135621,Madonna,0.677,2024-01-28T03:00:00,1173,Madonna,0.68,0,Palacio De Los Deportes - Iztacalco,Iztacalco,,08400,Av Viaducto Rio de la Piedad y Rio Churubusco S/N,,,,,,,,,,0.308,2023-08-19T00:00:00,2023-08-19T11:57:59,2023-10-20 05:25:52.033896
6135618,Madonna,0.674,2024-01-29T03:00:00,1173,Madonna,0.68,0,Palacio De Los Deportes - Iztacalco,Iztacalco,,08400,Av Viaducto Rio de la Piedad y Rio Churubusco S/N,,,,,,,,,,0.302,2023-08-19T00:00:00,2023-08-19T11:57:59,2023-10-20 05:25:52.033896
5920469,Madonna (Rescheduled from 8/26/2023),0.803,2024-01-30T01:30:00,1173,Madonna,0.68,0,Madison Square Garden,New York,NY,10001,4 Pennsylvania Plaza,912.0,896.0,178.0,178.0,8893.0,698.0,572.0,128.0,128.0,0.589,2023-01-19T00:00:00,2023-01-19T22:30:05,2023-10-20 05:25:52.033896
5915081,Madonna (Rescheduled from 8/9/2023),0.776,2024-02-02T02:30:00,1173,Madonna,0.68,0,United Center,Chicago,IL,60612,1901 West Madison Street,741.0,583.0,98.0,98.0,18391.0,600.0,375.0,68.0,68.0,0.529,2023-01-17T00:00:00,2023-01-17T15:27:26,2023-10-20 05:25:52.033896
